id,parent,날짜,자산,분류,소분류,내용,금액,수입/지출,메모
176,,2023-10-29 21:25,은행,식비,,치즈퀸(네이버페이5만원),26100,지출,"비차
엄마님의 후원^^"
177,,2023-10-28 21:21,은행,식비,,"와플등등-지민(네이버페이 10,000원)",6700,지출,
178,,2023-10-28 21:21,은행,문화생활,,"준수키링(16,300원-뚱이랑 분철)",10400,지출,
179,180,2023-10-27 21:20,은행,식비,,우미회전초밥-영수뚱이,21000,지출,
180,,2023-10-27 21:20,일정,약속,,우미회전초밥-영수뚱이,21000,,
181,183,2023-10-26 20:46,은행,식비,,아야진-자두샌드,22800,지출,
182,183,2023-10-26 20:46,은행,식비,,자연도소금빵,12000,지출,
183,,2023-10-26 20:46,일정,약속,,아야진-자두샌드,34800,,
184,187,2023-10-24 20:43,은행,문화생활,,코노-지민,3000,지출,
185,187,2023-10-24 20:43,은행,식비,,카페메이크미해피-지민,9750,지출,
186,187,2023-10-24 20:43,은행,식비,,화궁방-지민,14750,지출,
187,,2023-10-24 20:43,일정,약속,,화궁방오프 -지민,27500,,
188,,2023-10-20 0:21,은행,문화생활,,"빵빵 회지(2권, 1.0+2.5+0.38+뭔보증금)",39300,지출,
189,,2023-10-20 0:21,은행,식비,,마라탕-채은,10600,지출,
190,,2023-10-19 16:34,은행,생활용품,,키보드 당근,7000,지출,
191,,2023-10-19 16:34,은행,식비,,콘크리트팔레트-지민,6000,지출,
192,,2023-10-19 16:34,은행,문화생활,,플로결제,790,지출,
193,,2023-10-18 16:33,은행,식비,,과자,2200,지출,
194,196,2023-10-16 1:08,은행,식비,,멘토링 끝나고 밥-선아채은,30000,지출,"26,600원"
195,,2023-10-16 1:08,은행,식비,,마라찜닭-몽실세원라락(10/14),9470,지출,
196,,2023-10-16 1:08,일정,일정,,대면멘토링,30000,,
197,,2023-10-12 23:47,은행,문화생활,,봄툰충전,11900,지출,
198,,2023-10-12 23:47,은행,문화생활,,넷플,4250,지출,
199,201,2023-10-11 23:45,은행,식비,,북카페파오후식-자두,8900,지출,
200,201,2023-10-11 23:45,은행,식비,,북카페파오밥-자두,12500,지출,
201,,2023-10-11 23:45,일정,약속,,자두랑카공,21400,,
202,,2023-10-09 23:45,은행,식비,,타코카페-영수샌드비차(10월6일),19375,지출,
203,,2023-10-08 18:40,은행,식비,,마라샹궈-지민,10000,지출,"(12,000원)"
204,,2023-10-07 18:40,은행,문화생활,,네이버페이-레진//월월충전,20000,지출,
205,,2023-10-05 18:34,은행,기타,,해비타트,10000,지출,
206,209,2023-10-05 18:34,은행,식비,,미스터교자베베베-오구필수자두쿠스,14674,지출,
